country,name,summary
Netherlands,The Night Watch,"Militia Company of District II under the Command of Captain Frans Banninck Cocq, also known as The Shooting Company of Frans Banning Cocq and Willem van Ruytenburch, but commonly referred to as The Night Watch (Dutch: De Nachtwacht), is a 1642 painting by Rembrandt van Rijn. It is in the collection of the Amsterdam Museum but is prominently displayed in the Rijksmuseum as the best-known painting in its collection. The Night Watch is one of the most famous Dutch Golden Age paintings.

The painting is famous for three things: its colossal size (363 by 437 centimetres (12 by 14+1⁄2 feet)), the dramatic use of light and shadow (tenebrism) and the perception of motion in what would have traditionally been a static military group portrait. The painting was completed in 1642, at the peak of the Dutch Golden Age. It depicts the eponymous company moving out, led by Captain Frans Banninck Cocq (dressed in black, with a red sash) and his lieutenant, Willem van Ruytenburch (dressed in yellow, with a white sash). With effective use of sunlight and shade, Rembrandt leads the eye to the three most important characters among the crowd: the two men in the centre (from whom the painting gets its original title), and the woman in the centre-left background carrying a chicken. Behind them, the company's colours are carried by the ensign, Jan Visscher Cornelissen. The figures are almost life-size.

Rembrandt has displayed the traditional emblem of the arquebusiers in a natural way, with the woman in the background carrying the main symbols. She is a kind of mascot herself; the claws of a dead chicken on her belt represent the clauweniers (arquebusiers), the pistol behind the chicken represents clover and she is holding the militia's goblet. The man in front of her is wearing a helmet with an oak leaf, a traditional motif of the arquebusiers. The dead chicken is also meant to represent a defeated adversary. The colour yellow is often associated with victory."
France,Liberty Leading the People,"Liberty Leading the People (French: La Liberté guidant le peuple  is a painting by Eugène Delacroix commemorating the July Revolution of 1830, which toppled King Charles X. A woman of the people with a Phrygian cap personifying the concept of Liberty leads a varied group of people forward over a barricade and the bodies of the fallen, holding the flag of the French Revolution – the tricolour, which again became France's national flag after these events – in one hand and brandishing a bayonetted musket with the other. The figure of Liberty is also viewed as a symbol of France and the French Republic known as Marianne. The painting is sometimes wrongly thought to depict the French Revolution of 1789.

Liberty Leading the People is exhibited in the Louvre in Paris."
Germany,Wanderer above the Sea of Fog,"Wanderer above the Sea of Fog is a painting by German Romantic artist Caspar David Friedrich made in 1818. It depicts a man standing upon a rocky precipice with his back to the viewer; he is gazing out on a landscape covered in a thick sea of fog through which other ridges, trees, and mountains pierce, which stretches out into the distance indefinitely.

It has been considered one of the masterpieces of the Romantic movement and one of its most representative works. The painting has been widely interpreted as an emblem of self-reflection or contemplation of life's path, and the landscape is widely considered to evoke the sublime. Friedrich was a common user of Rückenfigur (German: Rear-facing figure) in his paintings; Wanderer above the Sea of Fog is perhaps the most famous Rückenfigur in art due to the subject's prominence. The painting also expresses Friedrich's German liberal and nationalist feeling by depicting the figure wearing an Altdeutsche (""Old German"") outfit, which was associated with the nationalist movement and banned by the states of the German Confederation in 1819.

While Friedrich was respected in German and Russian circles, Wanderer above the Sea of Fog and Friedrich's work in general were not immediately regarded as masterpieces. Friedrich's reputation improved in the early 20th century, and in particular during the 1970s; Wanderer became particularly popular, appearing as an example of ""popular art"" as well as high culture on books and other works. The provenance of the artwork after its creation is unknown, but by 1939 was on display in the gallery of Wilhelm August Luz in Berlin, and was acquired by the Hamburger Kunsthalle in Hamburg, Germany in 1970 where it has been displayed ever since."
United Kingdom  ,The Hay Wain,"The Hay Wain – originally titled Landscape: Noon – is a painting by John Constable, completed in 1821, which depicts a rural scene on the River Stour between the English counties of Suffolk and Essex. It hangs in the National Gallery in London and is regarded as ""Constable's most famous image"" and one of the greatest and most popular English paintings.
Painted in oils on canvas, the work depicts as its central feature three horses pulling what in fact appears to be a wood wain or large farm wagon across the river. Willy Lott's Cottage, also the subject of an eponymous painting by Constable, is visible on the far-left. The scene takes place near Flatford Mill in Suffolk, though since the Stour forms the border of two counties, the left bank is in Suffolk and the landscape on the right bank is in Essex.
The Hay Wain is one of a series of paintings by Constable called the ""six-footers"", large-scale canvasses which he painted for the annual summer exhibitions at the Royal Academy. As with all of the paintings in this series, Constable produced a full-scale oil sketch for the work; this is now in the Victoria and Albert Museum in London. Constable originally exhibited the finished work with the title Landscape: Noon, suggesting that he envisaged it as belonging to the classical landscape tradition of representing the cycles of nature."
Austria,The Kiss,"The Kiss (in German Der Kuss) is an oil-on-canvas painting with added gold leaf, silver and platinum by the Austrian Symbolist painter Gustav Klimt. It was painted at some point in 1907 and 1908, during the height of what scholars call his ""Golden Period"". It was exhibited in 1908 under the title Liebespaar (the lovers) as stated in the catalogue of the exhibition. The painting depicts a couple embracing each other, their bodies entwined in elaborate beautiful robes decorated in a style influenced by the contemporary Art Nouveau style and the organic forms of the earlier Arts and Crafts movement.
The painting now hangs in the Österreichische Galerie Belvedere museum in the Belvedere, Vienna, and is considered a masterpiece of Vienna Secession (local variation of Art Nouveau) and Klimt's most popular work after Portrait of Adele Bloch-Bauer I. It is considered by many as a famous work of art."
Spain,Las Meninas,"Las Meninas is a 1656 painting in the Museo del Prado in Madrid, by Diego Velázquez, the leading artist of the Spanish Golden Age. It has become one of the most widely analyzed works in Western painting, due to the way its complex and enigmatic composition raises questions about reality and illusion, and the uncertain relationship it creates between the viewer and the figures depicted.
The painting is believed by F. J. Sánchez Cantón to depict a room in the Royal Alcazar of Madrid during the reign of King Philip IV of Spain, and presents several figures, most identifiable from the Spanish court, captured in a particular moment as if in a snapshot. Some of the figures look out of the canvas towards the viewer, while others interact among themselves. The five-year-old Infanta Margaret Theresa is surrounded by her entourage of maids of honour, chaperone, bodyguard, two dwarfs and a dog. Just behind them, Velázquez portrays himself working at a large canvas. Velázquez looks outwards, beyond the pictorial space to where a viewer of the painting would stand. In the background there is a mirror that reflects the upper bodies of the king and queen. They appear to be placed outside the picture space in a position similar to that of the viewer, although some scholars have speculated that their image is a reflection from the painting Velázquez is shown working on.
Las Meninas has long been recognised as one of the most important paintings in the history of Western art. The Baroque painter Luca Giordano said that it represents the ""theology of painting"", and in 1827 the president of the Royal Academy of Arts Sir Thomas Lawrence described the work in a letter to his successor David Wilkie as ""the true philosophy of the art"". More recently, it has been described as ""Velázquez's supreme achievement, a highly self-conscious, calculated demonstration of what painting could achieve, and perhaps the most searching comment ever made on the possibilities of the easel painting""."
Italy ,Mona Lisa,"The Mona Lisa  is a half-length portrait painting by Italian artist Leonardo da Vinci. Considered an archetypal masterpiece of the Italian Renaissance, it has been described as ""the best known, the most visited, the most written about, the most sung about, the most parodied work of art in the world"". The painting's novel qualities include the subject's enigmatic expression, monumentality of the composition, the subtle modelling of forms, and the atmospheric illusionism.The painting has been definitively identified to depict Italian noblewoman Lisa del Giocondo. It is painted in oil on a white Lombardy poplar panel. Leonardo never gave the painting to the Giocondo family, and it is believed he later left it in his will to his favored apprentice Salaì. It was believed to have been painted between 1503-06; however, Leonardo may have continued working on it as late as 1517. It was acquired by King Francis I of France and is now the property of the French Republic. It has been on permanent display at the Louvre in Paris since 1797.
The painting's global fame and popularity stem from its 1911 theft by Vincenzo Peruggia, who attributed his actions to Italian patriotism – a belief it should belong to Italy. The theft and subsequent recovery in 1914 generated unprecedented publicity for an art theft, and led to the publication of many cultural depictions such as the 1915 opera Mona Lisa, two early 1930s films (The Theft of the Mona Lisa and Arsène Lupin) and the song Mona Lisa recorded by Nat King Cole – one of the most successful songs of the 1950s.
The Mona Lisa is one of the most valuable paintings in the world. It holds the Guinness World Record for the highest-known painting insurance valuation in history at US$100 million in 1962 equivalent to $1 billion as of 2023."
 Ukraine ,Kateryna,"Shevchenko's artistic heritage for us is not less valuable than his poetry. Do not forget that natural gift of drawing was the very first awakened in him and brought him out of the abyss of slavery in artistic elite. His artworks are diverse. Already during his lifetime Shevchenko had a well-deserved honor as outstanding portrait painter. He also performed a large series of landscapes, architectural sketches (including ukrainian antiquity), book illustrations. He was the first of Ukrainian who mastered the etching technique and created in it a number of famous compositions. Our web publication is intended to show the world the great ukrainian artist – Taras Shevchenko."
Belgium,The Garden of Earthly Delights.jpg,"The Garden of Earthly Delights is the modern title given to a triptych oil painting on oak panel painted by the Early Netherlandish master Hieronymus Bosch, between 1490 and 1510, when Bosch was between 40 and 60 years old. It has been housed in the Museo del Prado in Madrid, Spain since 1939.
As little is known of Bosch's life or intentions, interpretations of his artistic intent behind the work range from an admonition of worldly fleshy indulgence, to a dire warning on the perils of life's temptations, to an evocation of ultimate sexual joy. The intricacy of its symbolism, particularly that of the central panel, has led to a wide range of scholarly interpretations over the centuries. Twentieth-century art historians are divided as to whether the triptych's central panel is a moral warning or a panorama of paradise lost.
Bosch painted three large triptychs (the others are The Last Judgment of c. 1482 and The Haywain Triptych of c. 1516) that can be read from left to right and in which each panel was essential to the meaning of the whole. Each of these three works presents distinct, yet linked themes addressing history and faith. Triptychs from this period were generally intended to be read sequentially, the left and right panels often portraying Eden and the Last Judgment respectively, while the main subject was contained in the center piece. It is not known whether The Garden was intended as an altarpiece, but the general view is that the extreme subject matter of the inner center and right panels make it unlikely that it was intended to function in a church or monastery, but was instead commissioned by a lay patron."
Slovakia,Slovak Landscape,"""Slovak Landscape"" is a famous oil painting by Slovak artist Martin Benka, depicting the natural beauty and folk culture of Slovakia. The artwork is one of Benka's most well-known pieces and is considered a symbol of modern art in Slovakia.

The painting is characterized by intense colors and a layered composition, showcasing the mountains, forests, lakes, and traditional villages of Slovakia. The details and folk elements in the painting, such as people dressed in traditional clothing, old wooden houses and churches, and traditional handicrafts and tools, all highlight the unique culture of Slovakia.

Martin Benka is one of Slovakia's most renowned artists, and his work is beloved and revered by the Slovak people. In addition to painting, Benka also dabbled in music, poetry, and cultural studies, becoming a multi-talented figure in Slovak culture and the arts."
